X,Y
-0.0017646053902409,0.0065856006810269
0.0006458922551518,0.0107607037166609
-0.0011187131350894,0.017346304397688
-0.0028833185253304,0.0239319050787149
-0.0004728208799375,0.028107008114349
-0.0022374262701787,0.034692608795376
0.0001730713752141,0.0388677118310101
-0.001591534015027,0.0454533125120371
0.0008189636303658,0.0496284155476712
-0.0009456417598753,0.0562140162286981
-0.0027102471501165,0.0627996169097251
-0.0002997495047236,0.0669747199453592
-0.0020643548949648,0.0735603206263863
0.000346142750428,0.0777354236620203
-0.0014184626398131,0.0843210243430473
0.0009920350055798,0.0884961273786814
-0.0007725703846613,0.0950817280597084
0.0016379272607314,0.0992568310953424
-0.0001266781295094,0.1058424317763693
-0.0018912835197506,0.1124280324573964
0.0005192141256421,0.1166031354930304
-0.0012453912645989,0.1231887361740574
0.0011651063807939,0.1273638392096915
-0.0005994990094472,0.1339494398907185
-0.0023641043996884,0.1405350405717454
4.639324570443471e-05,0.1447101436073796
-0.0017182121445367,0.1512957442884066
0.0006922855008561,0.1554708473240407
-0.001072319889385,0.1620564480050676
-0.0028369252796262,0.1686420486860946
-0.0004264276342333,0.1728171517217287
-0.0021910330244743,0.1794027524027557
0.0002194646209185,0.1835778554383897
-0.0015451407693226,0.1901634561194167
-0.0033097461595638,0.1967490568004437
-0.0008992485141708,0.2009241598360778
-0.0026638539044121,0.2075097605171048
-0.0002533562590191,0.2116848635527388
-0.0020179616492603,0.2182704642337659
-0.0037825670395015,0.2248560649147929
-0.0013720693941086,0.2290311679504269
-0.0031366747843498,0.2356167686314539
-0.0007261771389569,0.239791871667088
-0.0024907825291981,0.246377472348115
-0.0042553879194391,0.2529630730291419
-0.0018448902740462,0.257138176064776
-0.0036094956642874,0.263723776745803
-0.0011989980188945,0.2678988797814371
-0.0029636034091357,0.2744844804624641
-0.0047282087993769,0.2810700811434911
-0.002317711153984,0.2852451841791251
-0.0040823165442252,0.2918307848601521
-0.0016718188988323,0.2960058878957862
-0.0034364242890735,0.3025914885768132
-0.0010259266436805,0.3067665916124473
-0.0027905320339217,0.3133521922934743
-0.0045551374241629,0.3199377929745013
-0.00214463977877,0.3241128960101354
-0.003909245169011,0.3306984966911623
-0.0014987475236181,0.3348735997267963
-0.0032633529138593,0.3414592004078233
-0.0008528552684664,0.3456343034434574
-0.0026174606587076,0.3522199041244844
-0.0043820660489488,0.3588055048055114
-0.0019715684035559,0.3629806078411455
-0.0037361737937971,0.3695662085221725
-0.0013256761484042,0.3737413115578066
-0.0030902815386454,0.3803269122388335
-0.0006797838932525,0.3845020152744677
-0.0024443892834936,0.3910876159554947
-0.0042089946737347,0.3976732166365215
-0.0017984970283418,0.4018483196721556
-0.0035631024185829,0.4084339203531826
-0.00115260477319,0.4126090233888167
-0.0029172101634312,0.4191946240698437
-0.0046818155536725,0.4257802247508707
-0.0022713179082795,0.4299553277865048
-0.0040359232985207,0.4365409284675318
-0.0016254256531278,0.4407160315031659
0.000785071992265,0.4448911345387999
-0.0027441387882173,0.4580623359008539
-0.0045087441784585,0.4646479365818808
-0.0020982465330656,0.468823039617515
-0.0038628519233066,0.4754086402985419
-0.0014523542779137,0.4795837433341759
-0.0032169596681549,0.4861693440152029
-0.0049815650583961,0.4927549446962299
-0.0025710674130031,0.4969300477318641
-0.0043356728032444,0.5035156484128911
-0.0019251751578515,0.507690751448525
-0.0036897805480926,0.5142763521295521
-0.0012792829026997,0.5184514551651862
-0.0030438882929409,0.5250370558462132
-0.000633390647548,0.5292121588818472
-0.0023979960377892,0.5357977595628742
-0.0041626014280304,0.5423833602439013
-0.0059272068182714,0.5489689609249282
-0.0035167091728785,0.5531440639605623
-0.0052813145631197,0.5597296646415892
-0.0028708169177268,0.5639047676772233
-0.004635422307968,0.5704903683582503
-0.0022249246625751,0.5746654713938844
-0.0039895300528163,0.5812510720749113
-0.0057541354430574,0.5878366727559384
-0.0033436377976646,0.5920117757915725
-0.0051082431879058,0.5985973764725995
-0.0026977455425128,0.6027724795082335
-0.0044623509327541,0.6093580801892606
-0.0020518532873611,0.6135331832248947
-0.0038164586776023,0.6201187839059217
-0.0055810640678433,0.6267043845869485
-0.0031705664224504,0.6308794876225826
-0.0049351718126916,0.6374650883036096
-0.0025246741672987,0.6416401913392437
-0.0042892795575399,0.6482257920202708
-0.001878781912147,0.6524008950559048
-0.0036433873023882,0.6589864957369318
-0.0012328896569953,0.6631615987725659
-0.0029974950472365,0.6697471994535928
-0.0047621004374777,0.6763328001346197
-0.0023516027920848,0.6805079031702539
-0.0041162081823259,0.6870935038512809
-0.001705710536933,0.6912686068869149
-0.003470315927174,0.6978542075679419
-0.0052349213174152,0.7044398082489689
-0.0028244236720224,0.708614911284603
-0.0045890290622635,0.71520051196563
-0.0021785314168706,0.7193756150012639
-0.0039431368071118,0.725961215682291
-0.005707742197353,0.732546816363318
-0.0032972445519601,0.736721919398952
-0.0050618499422013,0.7433075200799791
-0.0026513522968084,0.7474826231156132
-0.0044159576870496,0.7540682237966403
-0.0020054600416566,0.7582433268322744
-0.0037700654318979,0.7648289275133011
-0.0055346708221389,0.7714145281943281
-0.003124173176746,0.7755896312299622
-0.0048887785669872,0.7821752319109891
-0.0024782809215943,0.7863503349466234
-0.0042428863118354,0.7929359356276504
-0.0060074917020767,0.7995215363086774
-0.0035969940566837,0.8036966393443115
-0.005361599446925,0.8102822400253383
-0.002951101801532,0.8144573430609725
-0.0047157071917732,0.8210429437419995
-0.0064803125820144,0.8276285444230265
-0.0040698149366215,0.8318036474586606
-0.0058344203268627,0.8383892481396875
-0.0034239226814698,0.8425643511753217
-0.0051885280717108,0.8491499518563485
-0.0027780304263179,0.8533250548919825
-0.0045426358165591,0.8599106555730096
-0.0063072412068003,0.8664962562540366
-0.0038967435614074,0.8706713592896707
-0.0056613489516486,0.8772569599706977
-0.0074259543418898,0.8838425606517246
-0.0091905597321309,0.8904281613327517
-0.006780062086738,0.8946032643683858
-0.0085446674769792,0.9011888650494126
-0.0103092728672204,0.9077744657304396
-0.0120738782574614,0.9143600664114666
-0.0096633806120685,0.9185351694471008
-0.0114279860023098,0.9251207701281275
-0.0156030890379438,0.9275312677735206
-0.017367694428185,0.9341168684545476
-0.0191322998184262,0.9407024691355746
-0.0208969052086674,0.9472880698166016
-0.0226615105989086,0.9538736704976284
-0.0268366136345425,0.9562841681430214
-0.0286012190247837,0.9628697688240484
-0.0303658244150249,0.9694553695050754
-0.034540927450659,0.9718658671504684
-0.0363055328409002,0.9784514678314952
-0.0404806358765343,0.9808619654768882
-0.0422452412667755,0.9874475661579152
-0.0440098466570167,0.9940331668389424
-0.0481849496926506,0.9964436644843352
-0.0523600527282847,0.998854162129728
-0.0541246581185259,1.005439762810755
-0.05829976115416,1.007850260456148
-0.0624748641897941,1.0102607581015408
-0.0642394695800354,1.0168463587825678
-0.0684145726156694,1.0192568564279607
-0.0725896756513035,1.0216673540733536
-0.0743542810415445,1.0282529547543806
-0.0785293840771786,1.0306634523997733
-0.0827044871128128,1.0330739500451664
-0.0868795901484468,1.0354844476905594
-0.088644195538688,1.0420700483715863
-0.0928192985743222,1.0444805460169793
-0.0969944016099562,1.0468910436623722
-0.1011695046455904,1.049301541307765
-0.1053446076812242,1.051712038953158
-0.1095197107168583,1.054122536598551
-0.1136948137524925,1.0565330342439438
-0.1154594191427336,1.0631186349249708
