time,ax,ay,az,wx,wy,wz
2.000000e-02,-5.388794e-03,-3.991699e-03,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
4.000000e-02,-5.388794e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
6.000000e-02,4.191284e-03,-3.991699e-03,-2.794189e-03,5.086263e-02,-3.051758e-02,5.086263e-03
8.000000e-02,-5.987549e-04,-3.991699e-03,1.995850e-03,5.086263e-02,3.051758e-02,5.086263e-03
1.000000e-01,4.191284e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
1.200000e-01,-5.388794e-03,5.588379e-03,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
1.400000e-01,-5.987549e-04,5.588379e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.600000e-01,2.594604e-03,2.395020e-03,3.991699e-04,-1.017253e-02,-3.051758e-02,5.086263e-03
1.800000e-01,5.787964e-03,-7.983398e-04,-1.197510e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
2.000000e-01,8.981323e-03,-3.991699e-03,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
2.200000e-01,-5.987549e-04,7.983398e-04,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
2.400000e-01,-5.388794e-03,-3.991699e-03,-7.584229e-03,-1.017253e-02,3.051758e-02,5.086263e-03
2.600000e-01,-5.987549e-04,7.983398e-04,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
2.800000e-01,-5.987549e-04,-3.991699e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
3.000000e-01,-5.987549e-04,-3.991699e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
3.200000e-01,-5.388794e-03,5.588379e-03,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
3.400000e-01,-5.987549e-04,-3.991699e-03,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
3.600000e-01,4.191284e-03,5.588379e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
3.800000e-01,4.191284e-03,-3.991699e-03,-2.794189e-03,5.086263e-02,3.051758e-02,5.086263e-03
4.000000e-01,-5.388794e-03,1.037842e-02,6.785889e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
4.200000e-01,4.191284e-03,5.588379e-03,1.995850e-03,-1.017253e-02,3.051758e-02,-5.594889e-02
4.400000e-01,-5.987549e-04,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
4.600000e-01,-5.987549e-04,-3.991699e-03,-2.794189e-03,5.086263e-02,3.051758e-02,5.086263e-03
4.800000e-01,-5.987549e-04,-3.991699e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,-5.594889e-02
5.000000e-01,4.191284e-03,7.983398e-04,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
5.200000e-01,-5.388794e-03,5.588379e-03,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
5.400000e-01,-5.987549e-04,7.983398e-04,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
5.600000e-01,-5.388794e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
5.800000e-01,-5.987549e-04,7.983398e-04,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
6.000000e-01,-5.388794e-03,-3.991699e-03,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
6.200000e-01,4.191284e-03,5.588379e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
6.400000e-01,-5.987549e-04,-3.991699e-03,-7.584229e-03,-1.017253e-02,-3.051758e-02,-5.594889e-02
6.600000e-01,-5.987549e-04,7.983398e-04,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
6.800000e-01,-5.987549e-04,-3.991699e-03,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
7.000000e-01,4.191284e-03,5.588379e-03,-2.794189e-03,5.086263e-02,3.051758e-02,5.086263e-03
7.200000e-01,-5.987549e-04,7.983398e-04,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
7.400000e-01,-5.388794e-03,7.983398e-04,-7.584229e-03,-1.017253e-02,3.051758e-02,5.086263e-03
7.600000e-01,-5.987549e-04,-3.991699e-03,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
7.800000e-01,-5.388794e-03,5.588379e-03,6.785889e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
8.000000e-01,-5.987549e-04,5.588379e-03,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
8.200000e-01,-5.987549e-04,5.588379e-03,6.785889e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
8.400000e-01,4.191284e-03,7.983398e-04,-7.584229e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
8.600000e-01,-5.987549e-04,7.983398e-04,-2.794189e-03,-1.017253e-02,-3.051758e-02,-5.594889e-02
8.800000e-01,-1.017883e-02,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
9.000000e-01,-5.987549e-04,-3.991699e-03,6.785889e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
9.200000e-01,-5.388794e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
9.400000e-01,-5.388794e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
9.600000e-01,-5.388794e-03,5.588379e-03,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
9.800000e-01,-5.388794e-03,7.983398e-04,1.995850e-03,-1.017253e-02,3.051758e-02,5.086263e-03
1.000000e+00,4.191284e-03,5.588379e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.020000e+00,-5.987549e-04,5.588379e-03,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.040000e+00,-5.987549e-04,7.983398e-04,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.060000e+00,-5.388794e-03,7.983398e-04,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.080000e+00,-5.388794e-03,5.588379e-03,-2.794189e-03,-1.017253e-02,3.051758e-02,5.086263e-03
1.100000e+00,4.191284e-03,7.983398e-04,1.995850e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
1.120000e+00,4.191284e-03,7.983398e-04,-2.794189e-03,-1.017253e-02,-3.051758e-02,5.086263e-03
